year,month,month_num,island_system,diesel_l,diesel_cost_rs,units_kwh,oil_l,oil_cost_rs,diesel_barrel,barrel_amount,sfc_l_per_kwh,diesel_rs_per_l,fuel_cost_rs_per_kwh,total_cost_rs_per_kwh
2024,Jan,1,Analaithivu,12615.0,4365370.0,30430.0,40.0,85895.20000000001,63.075,94612.5,0.4146,346.05,143.46,146.28
2024,Jan,1,Eluvaitivu-Diesel,3460.0,1199762.0,7687.0,0.0,0.0,17.3,25950.0,0.4501,346.75,156.08,156.08
2024,Jan,1,Eluvaitivu-Hybrid,645.0,212205.0,5520.0,0.0,0.0,3.225,4837.5,0.1168,329.0,38.44,38.44
2024,Jan,1,Delft-Neduntivu,27185.0,9015640.0,82423.0,120.0,257685.6,135.925,24466.500000000004,0.3298,331.64,109.38,112.51
2024,Jan,1,Nainativu,31370.0,10926830.0,96670.00000000012,40.0,85895.20000000001,156.85,235275.0,0.3245,348.32,113.03,113.92
2024,Feb,2,Analaithivu,12035.0,4346780.0,30058.0,40.0,85895.20000000001,60.175,90262.5,0.4004,361.18,144.61,147.47
2024,Feb,2,Eluvaitivu-Diesel,2725.0,982265.0,6482.0,0.0,0.0,13.625,20437.5,0.4204,360.46,151.54,151.54
2024,Feb,2,Eluvaitivu-Hybrid,645.0,232635.0,7436.0,20.0,42947.600000000006,3.225,4837.5,0.0867,360.67,31.28,37.06
2024,Feb,2,Delft-Neduntivu,26515.0,9534570.0,80520.0,80.0,171790.40000000002,132.575,23863.499999999996,0.3293,359.59,118.41,120.55
2024,Feb,2,Nainativu,28900.0,10443200.0,88850.00000000038,0.0,0.0,144.5,216750.0,0.3253,361.36,117.54,117.54
2024,Mar,3,Analaithivu,13465.0,4887795.0,27666.0,40.0,85895.20000000001,67.325,100987.5,0.4867,363.0,176.67,179.78
2024,Mar,3,Eluvaitivu-Diesel,3030.0,1099890.0,7505.0,0.0,0.0,15.15,22725.0,0.4037,363.0,146.55,146.55
2024,Mar,3,Eluvaitivu-Hybrid,670.0,243210.0,8335.0,0.0,0.0,3.35,5025.0,0.0804,363.0,29.18,29.18
2024,Mar,3,Delft-Neduntivu,29075.0,10550135.0,86119.0,80.0,171790.40000000002,145.375,26167.5,0.3376,362.86,122.51,124.5
2024,Mar,3,Nainativu,32370.0,11750310.0,98290.0,0.0,0.0,161.85,242775.0,0.3293,363.0,119.55,119.55
2024,Apr,4,Analaithivu,13645.0,4953135.0,36196.0,40.0,85895.20000000001,68.225,102337.49999999999,0.377,363.0,136.84,139.22
2024,Apr,4,Eluvaitivu-Diesel,3475.0,1261425.0,9171.0,0.0,0.0,17.375,26062.5,0.3789,363.0,137.54,137.54
2024,Apr,4,Eluvaitivu-Hybrid,610.0,221430.0,7923.0,0.0,0.0,3.05,4575.0,0.077,363.0,27.95,27.95
2024,Apr,4,Delft-Neduntivu,32290.0,11721270.0,93001.0,80.0,171790.40000000002,161.45,29060.999999999996,0.3472,363.0,126.03,127.88
2024,Apr,4,Nainativu,34045.0,12358335.0,107099.99999999946,40.0,85895.20000000001,170.225,255337.5,0.3179,363.0,115.39,116.19
2024,May,5,Analaithivu,14905.0,5192565.0,30688.0,40.0,85895.20000000001,74.525,111787.50000000001,0.4857,348.38,169.21,172.0
2024,May,5,Eluvaitivu-Diesel,3435.0,1191165.0,8803.0,0.0,0.0,17.175,25762.5,0.3902,346.77,135.31,135.31
2024,May,5,Eluvaitivu-Hybrid,680.0,236940.0,8688.0,10.0,21473.800000000003,3.4,5100.0,0.0783,348.44,27.27,29.74
2024,May,5,Delft-Neduntivu,30805.0,11182215.0,90692.0,80.0,171790.40000000002,154.025,27724.5,0.3397,363.0,123.3,125.19
2024,May,5,Nainativu,32730.0,11317890.0,100220.00000000026,0.0,0.0,163.65,245475.0,0.3266,345.8,112.93,112.93
2024,Jun,6,Analaithivu,13645.0,4519625.0,34983.0,40.0,85895.20000000001,68.225,102337.49999999999,0.39,331.23,129.19,131.65
2024,Jun,6,Eluvaitivu-Diesel,2870.0,955710.0,6918.0,0.0,0.0,14.35,21525.0,0.4149,333.0,138.15,138.15
2024,Jun,6,Eluvaitivu-Hybrid,295.0,98235.0,8191.0,0.0,0.0,1.475,2212.5,0.036,333.0,11.99,11.99
2024,Jun,6,Delft-Neduntivu,27470.0,9360540.0,88695.0,40.0,85895.20000000001,137.35,24723.0,0.3097,340.76,105.54,106.5
2024,Jun,6,Nainativu,36700.0,12120780.0,112640.00000000033,0.0,0.0,183.5,275250.0,0.3258,330.27,107.61,107.61
2024,Jul,7,Analaithivu,14170.0,4491890.0,37127.0,80.0,171790.40000000002,70.85,106274.99999999999,0.3817,317.0,120.99,125.61
2024,Jul,7,Eluvaitivu-Diesel,3030.0,961262.0,7175.0,0.0,0.0,15.15,22725.0,0.4223,317.25,133.97,133.97
2024,Jul,7,Eluvaitivu-Hybrid,350.0,110950.0,8278.0,10.0,21473.800000000003,1.75,2625.0,0.0423,317.0,13.4,16.0
2024,Jul,7,Delft-Neduntivu,29495.0,9380491.0,95228.0,40.0,85895.20000000001,147.475,26545.5,0.3097,318.04,98.51,99.41
2024,Jul,7,Nainativu,35110.0,11129870.0,107380.00000000009,40.0,85895.20000000001,175.55,263325.0,0.327,317.0,103.65,104.45
2024,Aug,8,Analaithivu,14220.0,4507740.0,36616.0,0.0,0.0,71.1,106649.99999999999,0.3884,317.0,123.11,123.11
2024,Aug,8,Eluvaitivu-Diesel,2345.0,743365.0,6339.0,0.0,0.0,11.725,17587.5,0.3699,317.0,117.27,117.27
2024,Aug,8,Eluvaitivu-Hybrid,815.0,258355.0,9748.0,0.0,0.0,4.075,6112.5,0.0836,317.0,26.5,26.5
2024,Aug,8,Delft-Neduntivu,29365.0,9308705.0,95706.0,80.0,171790.40000000002,146.825,26428.499999999996,0.3068,317.0,97.26,99.06
2024,Aug,8,Nainativu,33745.0,10697165.0,103760.00000000023,0.0,0.0,168.725,253087.5,0.3252,317.0,103.1,103.1
2024,Sep,9,Analaithivu,14025.0,4382675.0,35288.0,40.0,85895.20000000001,70.125,105187.5,0.3974,312.49,124.2,126.63
2024,Sep,9,Eluvaitivu-Diesel,1880.0,589230.0,5175.0,0.0,0.0,9.4,14100.0,0.3633,313.42,113.86,113.86
2024,Sep,9,Eluvaitivu-Hybrid,995.0,310465.0,10664.0,10.0,21473.800000000003,4.975,7462.499999999999,0.0933,312.03,29.11,31.13
2024,Sep,9,Delft-Neduntivu,28270.0,8961590.0,92745.0,80.0,171790.40000000002,141.35,25443.0,0.3048,317.0,96.63,98.48
2024,Sep,9,Nainativu,32795.0,10248815.0,100359.99999999923,0.0,0.0,163.975,245962.5,0.3268,312.51,102.12,102.12
2024,Oct,10,Analaithivu,13890.0,4143870.0,34832.0,40.0,84549.36,69.45,104175.0,0.3988,298.33,118.97,121.39
2024,Oct,10,Eluvaitivu-Diesel,2905.0,846883.0,7362.0,0.0,0.0,14.525,21787.5,0.3946,291.53,115.03,115.03
2024,Oct,10,Eluvaitivu-Hybrid,1125.0,342375.0,7826.0,0.0,0.0,5.625,8437.5,0.1438,304.33,43.75,43.75
