island,timestamp_lst,ghi_wh_m2,ghi_clearsky_wh_m2,wind_10m_ms,wind_50m_ms,temp_2m_c,humidity_2m_pct,precip_mm_hr,pressure_kpa
Eluvaitivu,2024-01-01T00:00,0.0,0.0,6.1,7.23,26.42,78.45,0.85,101.25
Eluvaitivu,2024-01-01T01:00,0.0,0.0,6.17,7.3,26.34,78.96,0.61,101.18
Eluvaitivu,2024-01-01T02:00,0.0,0.0,6.3,7.47,26.27,79.44,1.02,101.13
Eluvaitivu,2024-01-01T03:00,0.0,0.0,6.46,7.66,26.23,79.59,1.19,101.15
Eluvaitivu,2024-01-01T04:00,0.0,0.0,6.61,7.84,26.23,79.31,0.65,101.21
Eluvaitivu,2024-01-01T05:00,0.0,0.0,6.63,7.87,26.26,78.68,0.49,101.3
Eluvaitivu,2024-01-01T06:00,41.75,55.17,6.57,7.72,26.47,77.83,0.22,101.39
Eluvaitivu,2024-01-01T07:00,171.12,259.1,6.49,7.3,26.86,76.01,0.22,101.5
Eluvaitivu,2024-01-01T08:00,335.92,478.75,6.21,6.84,27.1,74.59,0.2,101.57
Eluvaitivu,2024-01-01T09:00,475.45,662.22,5.97,6.52,27.27,73.85,0.2,101.57
Eluvaitivu,2024-01-01T10:00,563.25,787.4,5.94,6.47,27.37,73.81,0.16,101.5
Eluvaitivu,2024-01-01T11:00,634.6,774.1,6.1,6.64,27.4,74.17,0.29,101.38
Eluvaitivu,2024-01-01T12:00,588.95,757.47,6.3,6.89,27.38,74.61,0.42,101.27
Eluvaitivu,2024-01-01T13:00,541.45,667.92,6.42,7.03,27.32,75.15,0.63,101.17
Eluvaitivu,2024-01-01T14:00,375.77,515.45,6.55,7.19,27.21,75.78,0.51,101.13
Eluvaitivu,2024-01-01T15:00,222.75,320.98,6.7,7.41,27.08,76.33,0.25,101.15
Eluvaitivu,2024-01-01T16:00,86.0,123.12,6.72,7.62,26.9,77.27,0.19,101.2
Eluvaitivu,2024-01-01T17:00,7.4,8.25,6.63,7.83,26.6,78.69,0.14,101.26
Eluvaitivu,2024-01-01T18:00,0.0,0.0,6.7,7.94,26.52,78.99,0.12,101.34
Eluvaitivu,2024-01-01T19:00,0.0,0.0,6.73,8.0,26.5,79.09,0.08,101.41
Eluvaitivu,2024-01-01T20:00,0.0,0.0,6.72,8.0,26.48,79.21,0.05,101.44
