island,timestamp_lst,ghi_wh_m2,ghi_clearsky_wh_m2,wind_10m_ms,wind_50m_ms,temp_2m_c,humidity_2m_pct,precip_mm_hr,pressure_kpa
Nainativu,2024-01-01T00:00,0.0,0.0,6.01,7.63,26.05,81.66,0.42,101.14
Nainativu,2024-01-01T01:00,0.0,0.0,6.16,7.81,25.99,82.18,0.28,101.07
Nainativu,2024-01-01T02:00,0.0,0.0,6.38,8.05,25.94,82.4,0.43,101.04
Nainativu,2024-01-01T03:00,0.0,0.0,6.59,8.29,25.89,82.56,0.52,101.06
Nainativu,2024-01-01T04:00,0.0,0.0,6.8,8.53,25.87,82.47,0.32,101.11
Nainativu,2024-01-01T05:00,0.0,0.0,6.85,8.61,25.88,82.06,0.26,101.2
Nainativu,2024-01-01T06:00,41.75,55.17,6.86,8.39,26.2,80.83,0.14,101.3
Nainativu,2024-01-01T07:00,171.12,259.1,7.0,7.93,26.78,78.25,0.16,101.41
Nainativu,2024-01-01T08:00,335.92,478.75,6.8,7.59,27.17,76.26,0.21,101.48
Nainativu,2024-01-01T09:00,475.45,662.22,6.61,7.31,27.48,75.19,0.2,101.47
Nainativu,2024-01-01T10:00,563.25,787.4,6.62,7.3,27.69,74.77,0.27,101.39
Nainativu,2024-01-01T11:00,634.6,774.1,6.71,7.41,27.78,74.77,1.58,101.28
Nainativu,2024-01-01T12:00,588.95,757.47,6.78,7.47,27.76,74.94,1.96,101.17
Nainativu,2024-01-01T13:00,541.45,667.92,6.81,7.51,27.65,75.45,1.9,101.08
Nainativu,2024-01-01T14:00,375.77,515.45,6.95,7.71,27.47,76.04,1.54,101.04
Nainativu,2024-01-01T15:00,222.75,320.98,7.09,7.95,27.21,76.82,1.22,101.06
Nainativu,2024-01-01T16:00,86.0,123.12,7.01,8.11,26.88,78.14,0.85,101.11
Nainativu,2024-01-01T17:00,7.4,8.25,6.7,8.26,26.4,80.15,0.42,101.17
Nainativu,2024-01-01T18:00,0.0,0.0,6.69,8.36,26.23,80.65,0.22,101.25
Nainativu,2024-01-01T19:00,0.0,0.0,6.72,8.42,26.17,80.81,0.08,101.33
Nainativu,2024-01-01T20:00,0.0,0.0,6.65,8.37,26.12,80.84,0.03,101.35
Nainativu,2024-01-01T21:00,0.0,0.0,6.49,8.2,26.07,80.92,0.01,101.33
Nainativu,2024-01-01T22:00,0.0,0.0,6.27,7.95,26.01,81.11,0.01,101.27
Nainativu,2024-01-01T23:00,0.0,0.0,6.09,7.73,25.94,81.35,0.01,101.22
Nainativu,2024-01-02T00:00,0.0,0.0,5.92,7.51,25.87,81.64,0.04,101.16
Nainativu,2024-01-02T01:00,0.0,0.0,5.74,7.26,25.79,81.99,0.13,101.1
Nainativu,2024-01-02T02:00,0.0,0.0,5.61,7.09,25.74,82.24,0.11,101.06
Nainativu,2024-01-02T03:00,0.0,0.0,5.63,7.11,25.73,82.28,0.07,101.05
Nainativu,2024-01-02T04:00,0.0,0.0,5.79,7.31,25.75,82.2,0.05,101.06
Nainativu,2024-01-02T05:00,0.0,0.0,5.94,7.53,25.76,82.23,0.03,101.11
Nainativu,2024-01-02T06:00,34.75,54.25,6.04,7.55,26.0,81.76,0.02,101.19
Nainativu,2024-01-02T07:00,156.45,256.85,6.36,7.38,26.51,80.05,0.01,101.29
Nainativu,2024-01-02T08:00,295.52,474.38,6.52,7.29,26.83,78.73,0.01,101.34
Nainativu,2024-01-02T09:00,422.2,657.17,6.55,7.26,27.07,77.9,0.01,101.34
Nainativu,2024-01-02T10:00,549.0,782.62,6.52,7.18,27.26,77.4,0.08,101.3
Nainativu,2024-01-02T11:00,658.83,844.05,6.44,7.08,27.44,77.01,0.02,101.22
Nainativu,2024-01-02T12:00,605.28,824.6,6.4,7.01,27.53,76.91,0.04,101.11
Nainativu,2024-01-02T13:00,500.83,733.0,6.42,7.06,27.52,77.06,0.05,101.02
Nainativu,2024-01-02T14:00,382.55,579.75,6.5,7.16,27.48,77.17,0.04,100.99
Nainativu,2024-01-02T15:00,230.77,375.9,6.55,7.27,27.32,77.56,0.03,101.0
Nainativu,2024-01-02T16:00,104.9,155.43,6.41,7.33,27.03,78.87,0.02,101.04
Nainativu,2024-01-02T17:00,9.07,10.25,6.08,7.52,26.55,81.18,0.02,101.11
Nainativu,2024-01-02T18:00,0.0,0.0,6.12,7.68,26.36,81.8,0.01,101.2
Nainativu,2024-01-02T19:00,0.0,0.0,6.13,7.72,26.26,82.12,0.0,101.28
Nainativu,2024-01-02T20:00,0.0,0.0,6.03,7.61,26.19,82.29,0.0,101.3
Nainativu,2024-01-02T21:00,0.0,0.0,5.82,7.36,26.1,82.57,0.0,101.28
Nainativu,2024-01-02T22:00,0.0,0.0,5.61,7.09,26.02,82.58,0.0,101.22
Nainativu,2024-01-02T23:00,0.0,0.0,5.38,6.81,25.96,82.49,0.0,101.16
Nainativu,2024-01-03T00:00,0.0,0.0,5.18,6.54,25.9,82.34,0.04,101.08
Nainativu,2024-01-03T01:00,0.0,0.0,5.05,6.36,25.83,82.29,0.08,101.0
Nainativu,2024-01-03T02:00,0.0,0.0,4.96,6.23,25.79,82.17,0.11,100.97
Nainativu,2024-01-03T03:00,0.0,0.0,4.93,6.18,25.76,82.13,0.11,100.98
Nainativu,2024-01-03T04:00,0.0,0.0,4.96,6.22,25.75,82.08,0.12,101.04
Nainativu,2024-01-03T05:00,0.0,0.0,5.02,6.3,25.76,82.05,0.11,101.11
Nainativu,2024-01-03T06:00,49.5,52.15,5.14,6.36,26.14,81.38,0.11,101.21
Nainativu,2024-01-03T07:00,226.8,249.6,5.62,6.31,26.71,78.81,0.11,101.3
Nainativu,2024-01-03T08:00,417.62,462.0,5.76,6.35,27.03,77.51,0.13,101.35
Nainativu,2024-01-03T09:00,598.17,641.78,5.74,6.27,27.33,76.89,0.26,101.34
Nainativu,2024-01-03T10:00,729.9,770.6,5.68,6.19,27.56,76.51,0.36,101.28
Nainativu,2024-01-03T11:00,797.22,831.33,5.59,6.08,27.68,76.41,0.4,101.17
Nainativu,2024-01-03T12:00,744.0,811.35,5.51,5.98,27.68,76.58,0.41,101.05
Nainativu,2024-01-03T13:00,652.35,720.78,5.54,6.01,27.59,76.91,0.25,100.96
Nainativu,2024-01-03T14:00,491.23,564.88,5.76,6.29,27.44,77.38,0.16,100.91
Nainativu,2024-01-03T15:00,317.5,361.65,5.97,6.61,27.27,77.89,0.08,100.91
Nainativu,2024-01-03T16:00,132.75,145.32,5.97,6.86,27.01,79.3,0.07,100.95
Nainativu,2024-01-03T17:00,9.68,10.0,5.76,7.14,26.61,81.38,0.02,101.02
Nainativu,2024-01-03T18:00,0.0,0.0,5.82,7.32,26.48,81.58,0.02,101.12
Nainativu,2024-01-03T19:00,0.0,0.0,5.81,7.33,26.42,81.5,0.01,101.19
Nainativu,2024-01-03T20:00,0.0,0.0,5.64,7.14,26.36,81.63,0.01,101.21
Nainativu,2024-01-03T21:00,0.0,0.0,5.4,6.83,26.28,82.05,0.02,101.19
Nainativu,2024-01-03T22:00,0.0,0.0,5.14,6.48,26.19,82.36,0.03,101.15
Nainativu,2024-01-03T23:00,0.0,0.0,4.9,6.16,26.12,82.61,0.04,101.1
Nainativu,2024-01-04T00:00,0.0,0.0,4.72,5.92,26.11,82.56,0.04,101.04
Nainativu,2024-01-04T01:00,0.0,0.0,4.59,5.73,26.1,82.52,0.04,100.98
Nainativu,2024-01-04T02:00,0.0,0.0,4.38,5.44,26.08,82.34,0.04,100.94
Nainativu,2024-01-04T03:00,0.0,0.0,4.19,5.17,26.06,82.03,0.04,100.96
Nainativu,2024-01-04T04:00,0.0,0.0,4.1,5.05,26.08,81.69,0.05,101.01
Nainativu,2024-01-04T05:00,0.0,0.0,4.03,4.95,26.09,81.51,0.05,101.08
Nainativu,2024-01-04T06:00,30.48,49.65,3.95,4.87,26.53,80.68,0.05,101.16
Nainativu,2024-01-04T07:00,175.75,244.85,4.27,4.75,27.17,77.28,0.08,101.25
Nainativu,2024-01-04T08:00,390.8,459.55,4.41,4.82,27.53,75.93,0.16,101.3
Nainativu,2024-01-04T09:00,601.4,640.1,4.55,4.97,27.85,75.29,0.09,101.31
Nainativu,2024-01-04T10:00,710.3,762.53,4.66,5.07,28.07,74.93,0.07,101.26
Nainativu,2024-01-04T11:00,755.47,817.3,4.73,5.14,28.21,74.82,0.05,101.15
Nainativu,2024-01-04T12:00,738.6,798.4,4.79,5.2,28.26,74.94,0.1,101.04
Nainativu,2024-01-04T13:00,665.97,715.75,4.91,5.35,28.3,75.15,0.08,100.96
Nainativu,2024-01-04T14:00,486.42,568.92,5.16,5.65,28.25,75.54,0.07,100.9
Nainativu,2024-01-04T15:00,310.3,370.0,5.43,6.04,28.01,76.69,0.06,100.9
Nainativu,2024-01-04T16:00,129.57,154.23,5.52,6.33,27.67,78.51,0.08,100.95
Nainativu,2024-01-04T17:00,10.18,10.95,5.2,6.51,27.15,81.66,0.11,101.01
Nainativu,2024-01-04T18:00,0.0,0.0,5.13,6.49,26.93,82.88,0.12,101.1
Nainativu,2024-01-04T19:00,0.0,0.0,4.96,6.28,26.83,83.44,0.11,101.19
Nainativu,2024-01-04T20:00,0.0,0.0,4.78,6.05,26.75,83.99,0.08,101.22
Nainativu,2024-01-04T21:00,0.0,0.0,4.67,5.9,26.64,84.71,0.06,101.21
Nainativu,2024-01-04T22:00,0.0,0.0,4.58,5.76,26.53,85.32,0.08,101.17
Nainativu,2024-01-04T23:00,0.0,0.0,4.45,5.56,26.42,85.92,0.12,101.11
Nainativu,2024-01-05T00:00,0.0,0.0,4.3,5.35,26.3,86.65,0.15,101.04
Nainativu,2024-01-05T01:00,0.0,0.0,4.22,5.23,26.2,87.24,0.2,100.97
Nainativu,2024-01-05T02:00,0.0,0.0,4.09,5.07,26.13,87.52,0.38,100.92
Nainativu,2024-01-05T03:00,0.0,0.0,3.99,4.9,26.07,87.64,0.67,100.92
Nainativu,2024-01-05T04:00,0.0,0.0,3.96,4.86,26.04,87.69,0.77,100.97
Nainativu,2024-01-05T05:00,0.0,0.0,4.0,4.92,26.02,87.81,0.68,101.03
Nainativu,2024-01-05T06:00,38.1,54.65,4.21,5.06,26.4,87.12,0.47,101.1
Nainativu,2024-01-05T07:00,176.0,259.98,4.8,5.28,26.87,85.0,0.4,101.19
Nainativu,2024-01-05T08:00,345.33,475.3,5.24,5.74,27.23,83.44,0.47,101.25
Nainativu,2024-01-05T09:00,520.6,654.83,5.57,6.1,27.52,82.2,0.66,101.24
Nainativu,2024-01-05T10:00,641.05,777.5,5.72,6.25,27.69,81.34,0.72,101.18
Nainativu,2024-01-05T11:00,644.45,839.0,5.73,6.25,27.81,80.78,1.44,101.08
Nainativu,2024-01-05T12:00,555.85,823.15,5.71,6.23,27.9,80.28,1.63,100.98
Nainativu,2024-01-05T13:00,472.05,735.15,5.76,6.31,27.9,80.11,1.54,100.93
Nainativu,2024-01-05T14:00,393.08,583.03,5.96,6.57,27.86,80.11,1.33,100.9
Nainativu,2024-01-05T15:00,244.82,382.27,6.24,6.95,27.72,80.42,0.93,100.9
Nainativu,2024-01-05T16:00,107.28,161.82,6.36,7.26,27.48,81.46,0.85,100.94
Nainativu,2024-01-05T17:00,9.3,11.7,6.18,7.53,27.09,83.53,0.87,101.01
Nainativu,2024-01-05T18:00,0.0,0.0,6.21,7.67,26.92,84.4,0.77,101.09
Nainativu,2024-01-05T19:00,0.0,0.0,6.14,7.62,26.83,85.01,0.53,101.18
Nainativu,2024-01-05T20:00,0.0,0.0,5.97,7.43,26.75,85.61,0.51,101.2
Nainativu,2024-01-05T21:00,0.0,0.0,5.76,7.21,26.68,86.08,0.49,101.18
Nainativu,2024-01-05T22:00,0.0,0.0,5.6,7.04,26.61,86.49,0.64,101.14
Nainativu,2024-01-05T23:00,0.0,0.0,5.5,6.95,26.57,86.64,0.88,101.08
Nainativu,2024-01-06T00:00,0.0,0.0,5.44,6.88,26.55,86.69,1.07,101.01
Nainativu,2024-01-06T01:00,0.0,0.0,5.36,6.79,26.51,86.73,2.09,100.93
Nainativu,2024-01-06T02:00,0.0,0.0,5.22,6.62,26.44,86.9,3.39,100.87
Nainativu,2024-01-06T03:00,0.0,0.0,5.08,6.44,26.39,87.07,4.11,100.88
Nainativu,2024-01-06T04:00,0.0,0.0,4.94,6.23,26.37,87.12,5.02,100.93
Nainativu,2024-01-06T05:00,0.0,0.0,4.77,5.99,26.35,87.42,3.84,101.0
Nainativu,2024-01-06T06:00,40.08,53.45,4.82,5.83,26.72,86.77,4.78,101.06
Nainativu,2024-01-06T07:00,195.1,259.92,5.17,5.75,27.18,84.88,5.05,101.14
Nainativu,2024-01-06T08:00,370.1,477.15,5.35,5.92,27.5,83.38,5.94,101.19
Nainativu,2024-01-06T09:00,502.33,658.03,5.48,6.03,27.74,82.22,6.13,101.18
Nainativu,2024-01-06T10:00,551.15,783.62,5.49,6.03,27.9,81.54,6.48,101.13
Nainativu,2024-01-06T11:00,579.97,833.85,5.32,5.82,27.97,81.3,4.31,101.03
Nainativu,2024-01-06T12:00,543.8,818.25,5.04,5.48,28.0,81.04,3.85,100.95
Nainativu,2024-01-06T13:00,483.33,729.97,4.77,5.18,28.0,80.78,3.53,100.88
Nainativu,2024-01-06T14:00,321.9,576.83,4.75,5.19,27.91,80.97,2.73,100.85
Nainativu,2024-01-06T15:00,197.88,374.17,4.96,5.47,27.78,81.68,2.94,100.86
Nainativu,2024-01-06T16:00,80.38,156.35,5.23,5.93,27.52,83.19,2.68,100.92
Nainativu,2024-01-06T17:00,9.6,11.57,5.32,6.54,27.1,85.89,2.55,100.98
Nainativu,2024-01-06T18:00,0.0,0.0,5.72,7.11,26.93,87.08,2.77,101.05
Nainativu,2024-01-06T19:00,0.0,0.0,6.05,7.53,26.85,87.86,2.58,101.12
Nainativu,2024-01-06T20:00,0.0,0.0,6.11,7.61,26.78,88.56,2.58,101.14
Nainativu,2024-01-06T21:00,0.0,0.0,5.91,7.4,26.7,89.24,2.64,101.13
Nainativu,2024-01-06T22:00,0.0,0.0,5.56,6.99,26.61,89.91,3.05,101.1
Nainativu,2024-01-06T23:00,0.0,0.0,5.07,6.39,26.48,90.62,3.49,101.06
Nainativu,2024-01-07T00:00,0.0,0.0,4.59,5.71,26.39,91.16,3.76,101.03
Nainativu,2024-01-07T01:00,0.0,0.0,4.29,5.28,26.33,91.62,4.05,100.97
Nainativu,2024-01-07T02:00,0.0,0.0,4.18,5.08,26.27,92.08,4.39,100.91
Nainativu,2024-01-07T03:00,0.0,0.0,4.11,4.93,26.23,92.48,4.08,100.91
Nainativu,2024-01-07T04:00,0.0,0.0,4.08,4.83,26.21,92.66,3.99,100.93
Nainativu,2024-01-07T05:00,0.0,0.0,3.98,4.66,26.17,92.73,3.97,100.98
Nainativu,2024-01-07T06:00,40.7,51.0,3.71,4.23,26.43,91.85,4.64,101.06
Nainativu,2024-01-07T07:00,178.48,251.6,3.64,3.92,26.79,89.69,4.83,101.15
Nainativu,2024-01-07T08:00,348.42,468.38,3.87,4.14,27.07,87.62,5.77,101.22
Nainativu,2024-01-07T09:00,534.33,650.5,4.61,4.93,27.31,85.92,6.12,101.23
Nainativu,2024-01-07T10:00,620.53,776.17,5.24,5.62,27.44,85.1,5.54,101.18
Nainativu,2024-01-07T11:00,618.5,827.75,5.57,6.01,27.52,84.54,12.08,101.08
Nainativu,2024-01-07T12:00,716.72,809.38,5.62,6.1,27.52,84.35,10.86,100.96
Nainativu,2024-01-07T13:00,642.17,717.72,5.53,6.01,27.47,84.21,10.34,100.86
Nainativu,2024-01-07T14:00,508.2,567.9,5.3,5.8,27.42,84.11,9.29,100.81
Nainativu,2024-01-07T15:00,324.95,372.92,4.81,5.29,27.34,84.03,8.0,100.81
Nainativu,2024-01-07T16:00,131.07,157.0,4.14,4.66,27.19,84.55,7.12,100.86
Nainativu,2024-01-07T17:00,10.27,12.0,3.38,4.16,26.91,86.47,7.78,100.94
Nainativu,2024-01-07T18:00,0.0,0.0,3.18,4.05,26.8,87.06,9.87,101.03
Nainativu,2024-01-07T19:00,0.0,0.0,3.54,4.53,26.77,87.42,11.61,101.11
Nainativu,2024-01-07T20:00,0.0,0.0,4.11,5.24,26.72,88.12,11.03,101.15
Nainativu,2024-01-07T21:00,0.0,0.0,4.53,5.75,26.65,89.01,11.55,101.13
Nainativu,2024-01-07T22:00,0.0,0.0,4.64,5.89,26.57,89.97,12.01,101.07
Nainativu,2024-01-07T23:00,0.0,0.0,4.58,5.81,26.5,90.89,13.3,101.02
Nainativu,2024-01-08T00:00,0.0,0.0,4.54,5.76,26.44,91.63,12.12,100.97
Nainativu,2024-01-08T01:00,0.0,0.0,4.48,5.71,26.41,92.1,11.54,100.91
Nainativu,2024-01-08T02:00,0.0,0.0,4.36,5.55,26.4,92.17,10.75,100.88
Nainativu,2024-01-08T03:00,0.0,0.0,4.24,5.38,26.42,91.99,8.95,100.9
Nainativu,2024-01-08T04:00,0.0,0.0,4.2,5.34,26.49,91.58,8.56,100.97
Nainativu,2024-01-08T05:00,0.0,0.0,4.22,5.35,26.53,91.3,8.37,101.05
Nainativu,2024-01-08T06:00,31.23,51.83,4.28,5.36,26.85,90.59,7.9,101.15
Nainativu,2024-01-08T07:00,162.73,257.08,4.67,5.31,27.27,89.0,7.84,101.25
Nainativu,2024-01-08T08:00,332.92,476.3,4.8,5.4,27.45,88.21,10.01,101.32
Nainativu,2024-01-08T09:00,442.3,660.33,4.87,5.45,27.53,87.71,10.31,101.32
Nainativu,2024-01-08T10:00,580.85,788.58,4.79,5.32,27.53,87.58,14.07,101.27
Nainativu,2024-01-08T11:00,623.65,831.38,4.67,5.15,27.46,87.68,21.24,101.17
Nainativu,2024-01-08T12:00,465.2,819.1,4.59,5.05,27.35,87.88,25.55,101.05
Nainativu,2024-01-08T13:00,489.23,733.33,4.59,5.05,27.26,88.02,27.89,100.98
Nainativu,2024-01-08T14:00,320.7,582.33,4.77,5.27,27.14,88.41,30.59,100.96
Nainativu,2024-01-08T15:00,223.2,382.42,5.03,5.61,27.0,89.16,32.86,100.99
Nainativu,2024-01-08T16:00,99.7,164.82,5.22,6.03,26.82,90.19,32.59,101.03
Nainativu,2024-01-08T17:00,7.75,12.93,5.3,6.5,26.63,91.07,30.14,101.08
Nainativu,2024-01-08T18:00,0.0,0.0,5.57,6.92,26.62,91.23,25.51,101.16
Nainativu,2024-01-08T19:00,0.0,0.0,5.83,7.27,26.66,91.31,20.89,101.23
Nainativu,2024-01-08T20:00,0.0,0.0,5.91,7.4,26.64,91.69,18.53,101.27
Nainativu,2024-01-08T21:00,0.0,0.0,5.95,7.46,26.6,91.75,19.63,101.26
Nainativu,2024-01-08T22:00,0.0,0.0,5.92,7.42,26.51,91.83,22.45,101.21
Nainativu,2024-01-08T23:00,0.0,0.0,5.89,7.38,26.43,91.49,26.53,101.17
Nainativu,2024-01-09T00:00,0.0,0.0,5.64,7.06,26.35,91.21,31.01,101.1
Nainativu,2024-01-09T01:00,0.0,0.0,5.41,6.8,26.29,91.05,33.53,101.03
Nainativu,2024-01-09T02:00,0.0,0.0,5.32,6.7,26.26,90.84,33.18,100.97
Nainativu,2024-01-09T03:00,0.0,0.0,5.5,6.94,26.29,90.35,27.11,100.96
Nainativu,2024-01-09T04:00,0.0,0.0,6.06,7.57,26.36,89.77,19.54,100.99
Nainativu,2024-01-09T05:00,0.0,0.0,6.57,8.13,26.41,89.46,14.63,101.04
Nainativu,2024-01-09T06:00,15.0,50.25,7.12,8.68,26.58,88.95,12.58,101.12
Nainativu,2024-01-09T07:00,54.12,250.4,7.74,9.17,26.89,87.9,11.96,101.19
Nainativu,2024-01-09T08:00,80.68,465.08,8.55,10.01,27.12,86.63,29.24,101.24
Nainativu,2024-01-09T09:00,81.12,646.15,9.31,10.89,27.26,85.26,28.24,101.23
Nainativu,2024-01-09T10:00,91.65,771.72,9.58,11.22,27.39,83.84,26.24,101.19
Nainativu,2024-01-09T11:00,131.55,829.53,9.73,11.38,27.45,82.62,29.54,101.12
Nainativu,2024-01-09T12:00,114.38,813.97,9.68,11.32,27.45,81.63,19.48,101.03
Nainativu,2024-01-09T13:00,85.53,724.95,9.65,11.3,27.43,80.7,12.0,100.93
Nainativu,2024-01-09T14:00,82.43,570.67,9.42,11.09,27.36,80.19,7.92,100.92
Nainativu,2024-01-09T15:00,109.3,368.85,8.93,10.62,27.23,80.39,4.87,100.95
